wall,t,timeScale,bladeGapFraction,heroHipX,heroHipY,heroHandX,heroHandY,heroTipX,heroTipY,foeHipX,foeHipY,foeHandX,foeHandY,foeTipX,foeTipY,heroShoulderX,heroShoulderY,heroElbowX,heroElbowY,heroHeadX,heroHeadY,heroStandX,foeStandX,heroArmWeight,heroBladeWeight
0.50833,0.50696,0.93896,0.832511,0.14967,0.95367,-0.15066,1.26789,-0.28309,0.52560,1.55000,0.96455,1.55170,0.85596,1.10482,0.24867,0.33763,1.35892,0.04773,1.43586,0.25429,1.58269,0.14967,1.55000,0.85000,0.00000
0.51667,0.51470,0.92435,0.805714,0.15060,0.95347,-0.13776,1.27072,-0.23762,0.52336,1.55000,0.96442,1.55168,0.85591,1.10433,0.24897,0.33962,1.35855,0.05309,1.44720,0.25593,1.58240,0.15060,1.55000,0.85000,0.00000
0.52500,0.52231,0.90999,0.776652,0.15143,0.95327,-0.12318,1.27401,-0.18739,0.52274,1.55000,0.96429,1.55182,0.85586,1.10424,0.24909,0.34145,1.35827,0.05907,1.45936,0.25724,1.58216,0.15143,1.55000,0.85000,0.00000
0.53333,0.52981,0.89639,0.746030,0.15219,0.95308,-0.10709,1.27773,-0.13436,0.52422,1.55000,0.96414,1.55180,0.85579,1.10375,0.24936,0.34332,1.35794,0.06585,1.47181,0.25865,1.58189,0.15219,1.55000,0.85000,0.00000
0.54167,0.53720,0.88400,0.714571,0.15288,0.95290,-0.08974,1.28190,-0.07943,0.52796,1.55000,0.96399,1.55182,0.85573,1.10308,0.24982,0.34515,1.35762,0.07330,1.48435,0.25999,1.58162,0.15288,1.55000,0.85000,0.00000
0.55000,0.54450,0.87317,0.683254,0.15350,0.95273,-0.07129,1.28673,-0.02313,0.53426,1.55000,0.96382,1.55204,0.85567,1.10307,0.24993,0.34679,1.35741,0.08138,1.49711,0.26102,1.58140,0.15350,1.55000,0.85000,0.00000
0.55833,0.55172,0.86420,0.651827,0.15406,0.95256,-0.05191,1.29191,0.03341,0.54275,1.55000,0.96365,1.55191,0.85557,1.10224,0.25035,0.34846,1.35713,0.09017,1.50959,0.26223,1.58114,0.15406,1.55000,0.85000,0.00000
0.56667,0.55887,0.85730,0.621347,0.15458,0.95239,-0.03159,1.29758,0.09010,0.55346,1.55000,0.96346,1.55220,0.85554,1.10206,0.25066,0.35015,1.35687,0.09972,1.52191,0.26340,1.58089,0.15458,1.55000,0.85000,0.00000
0.57500,0.56599,0.85263,0.590865,0.15505,0.95223,-0.01053,1.30356,0.14725,0.56625,1.55000,0.96327,1.55212,0.85544,1.10105,0.25126,0.35160,1.35670,0.10970,1.53402,0.26427,1.58068,0.15505,1.55000,0.85000,0.00000
0.58333,0.57308,0.85028,0.563136,0.15548,0.95208,0.01108,1.31027,0.20234,0.58093,1.55000,0.96307,1.55246,0.85540,1.10116,0.25138,0.35314,1.35647,0.12067,1.54598,0.26535,1.58044,0.15548,1.55000,0.85000,0.00000
0.59167,0.58016,0.85031,0.536062,0.15587,0.95193,0.03327,1.31748,0.25678,0.59737,1.55000,0.96286,1.55232,0.85532,1.10010,0.25200,0.35447,1.35638,0.13227,1.55783,0.26598,1.58026,0.15587,1.55000,0.85000,0.00000
0.60000,0.58726,0.85270,0.511438,0.15623,0.95178,0.05625,1.32523,0.30966,0.61509,1.55000,0.96263,1.55245,0.85519,1.09976,0.25222,0.35594,1.35618,0.14512,1.56950,0.26699,1.58002,0.15623,1.55000,0.85000,0.00000
0.60833,0.59440,0.85740,0.498015,0.15657,0.95164,0.07433,1.33472,0.34104,0.62947,1.55000,0.96240,1.55257,0.85512,1.09919,0.25266,0.35732,1.35599,0.15859,1.58062,0.26790,1.57979,0.15657,1.55000,0.85000,0.00000
0.61667,0.60158,0.86430,0.499116,0.15687,0.95150,0.08646,1.34789,0.34287,0.63882,1.55000,0.96216,1.55269,0.85503,1.09862,0.25310,0.35860,1.35592,0.17429,1.59253,0.26857,1.57961,0.15687,1.55000,0.85000,0.00000
0.62500,0.60884,0.87325,0.516937,0.15716,0.95136,0.09524,1.36826,0.31129,0.64588,1.55000,0.96190,1.55271,0.85493,1.09772,0.25370,0.35976,1.35584,0.19671,1.60757,0.26920,1.57943,0.15716,1.55000,0.85000,0.00000
0.63333,0.61618,0.88402,0.556697,0.15742,0.95123,0.10201,1.39751,0.23997,0.65624,1.55000,0.96163,1.55264,0.85476,1.09672,0.25422,0.36102,1.35567,0.22837,1.62466,0.27009,1.57920,0.15742,1.55000,0.85000,0.00000
0.64167,0.62363,0.89633,0.608242,0.15766,0.95111,0.11037,1.43005,0.15252,0.67722,1.55000,0.96135,1.55286,0.85469,1.09625,0.25468,0.36225,1.35558,0.26471,1.63919,0.27081,1.57900,0.15766,1.55000,0.84926,0.00000
0.65000,0.63118,0.90982,0.661744,0.15788,0.95098,0.12143,1.46152,0.06621,0.70955,1.55000,0.96106,1.55288,0.85455,1.09536,0.25524,0.36329,1.35557,0.30143,1.64903,0.27127,1.57885,0.15788,1.55000,0.84713,0.00000
0.65833,0.63885,0.92406,0.715585,0.15809,0.95087,0.13534,1.49151,-0.01661,0.75298,1.55000,0.96075,1.55270,0.85439,1.09380,0.25614,0.36447,1.35543,0.33808,1.65418,0.27211,1.57863,0.15809,1.55000,0.84362,0.00000
0.66667,0.64664,0.93855,0.769274,0.15828,0.95075,0.15156,1.51980,-0.09348,0.80673,1.55000,0.96043,1.55282,0.85428,1.09300,0.25673,0.36544,1.35544,0.37341,1.65525,0.27253,1.57849,0.15828,1.55000,0.83877,0.00000
0.67500,0.65455,0.95275,0.821447,0.15845,0.95064,0.16988,1.54615,-0.16294,0.86958,1.55000,0.96009,1.55285,0.85410,1.09211,0.25726,0.36639,1.35545,0.40700,1.65260,0.27300,1.57834,0.15845,1.55000,0.83260,0.00000
0.68333,0.66258,0.96606,0.870571,0.15861,0.95054,0.19001,1.57051,-0.22409,0.94040,1.55000,0.95974,1.55239,0.85395,1.08960,0.25870,0.36740,1.35539,0.43851,1.64676,0.27362,1.57816,0.15861,1.55000,0.82517,0.00000
0.69167,0.67070,0.97787,0.913190,0.15875,0.95045,0.21121,1.59265,-0.27536,1.01666,1.55000,0.95938,1.55252,0.85379,1.08881,0.25926,0.36826,1.35541,0.46704,1.63859,0.27406,1.57803,0.15875,1.55000,0.81652,0.00000
0.70000,0.67891,0.98760,0.945240,0.15888,0.95036,0.23335,1.61273,-0.31691,1.09725,1.55000,0.95900,1.55262,0.85361,1.08777,0.25996,0.36913,1.35537,0.49279,1.62861,0.27459,1.57787,0.15888,1.55000,0.80674,0.00000
0.70833,0.68719,0.99476,0.954086,0.15900,0.95028,0.25561,1.63079,-0.34846,1.17955,1.55000,0.95861,1.55263,0.85347,1.08642,0.26090,0.36977,1.35548,0.51521,1.61777,0.27476,1.57780,0.15900,1.55000,0.79591,0.00000
0.71667,0.69550,0.99895,0.954207,0.15911,0.95021,0.27802,1.64681,-0.37034,1.26192,1.55000,0.95821,1.55231,0.85328,1.08451,0.26195,0.37055,1.35549,0.53479,1.60644,0.27522,1.57767,0.15911,1.55000,0.78413,0.00000
0.72500,0.70384,1.00000,0.953314,0.15920,0.95015,0.29985,1.66109,-0.38360,1.34264,1.55000,0.95781,1.55212,0.85306,1.08274,0.26300,0.37118,1.35558,0.55133,1.59536,0.27549,1.57758,0.15920,1.55000,0.77154,0.00000
0.73333,0.71217,1.00000,0.951584,0.15929,0.95010,0.32087,1.67361,-0.38915,1.41987,1.55000,0.95739,1.55208,0.85290,1.08133,0.26391,0.37189,1.35553,0.56517,1.58486,0.27604,1.57745,0.15929,1.55000,0.75823,0.00000
0.74167,0.72050,1.00000,0.951395,0.15937,0.95006,0.33774,1.68749,-0.39143,1.49561,1.55000,0.95697,1.55165,0.85267,1.07910,0.26513,0.37236,1.35567,0.57353,1.57811,0.27612,1.57741,0.15937,1.55000,0.74430,0.00000
0.75000,0.72884,1.00000,0.972803,0.15943,0.95003,0.32515,1.72432,-0.41695,1.59086,1.55000,0.95653,1.55160,0.85253,1.07748,0.26626,0.37266,1.35584,0.55152,1.59658,0.27606,1.57741,0.15943,1.55000,0.72982,0.00000
0.75833,0.73717,1.00000,0.993109,0.15950,0.95001,0.31039,1.75730,-0.43945,1.67822,1.55000,0.95610,1.55128,0.85228,1.07559,0.26728,0.37316,1.35590,0.52686,1.61343,0.27637,1.57735,0.15950,1.55000,0.71489,0.00000
0.76667,0.74550,1.00000,1.012096,0.15955,0.95000,0.29333,1.78582,-0.46009,1.75633,1.55000,0.95565,1.55092,0.85207,1.07321,0.26873,0.37338,1.35605,0.49985,1.62799,0.27629,1.57737,0.15955,1.55000,0.69957,0.00000
0.77500,0.75384,1.00000,1.029622,0.15960,0.95000,0.27456,1.80956,-0.47929,1.82488,1.55000,0.95520,1.55052,0.85186,1.07102,0.26998,0.37365,1.35619,0.47133,1.63974,0.27634,1.57736,0.15960,1.55000,0.68395,0.00000
