t,standX,hipX,hipY,headX,headY,shX,shY,elX,elY,handX,handY,tipX,tipY
2.75768,0.160000,0.160000,0.935000,0.229191,1.570799,0.325515,1.356895,0.447395,1.630945,0.468574,1.890021,0.036562,2.507991
2.77434,0.160000,0.160000,0.935021,0.229458,1.570790,0.325604,1.356761,0.450733,1.629344,0.478661,1.887779,0.062911,2.516804
2.79101,0.160000,0.160000,0.935074,0.229487,1.570744,0.325728,1.356718,0.453153,1.628234,0.487020,1.885958,0.085853,2.524383
2.80768,0.160000,0.160000,0.935157,0.229692,1.570799,0.325946,1.356738,0.455243,1.627368,0.494735,1.884290,0.107620,2.531331
2.82434,0.160000,0.160000,0.935269,0.229752,1.570894,0.326182,1.356842,0.456826,1.626824,0.501434,1.882907,0.127298,2.537539
2.84101,0.160000,0.160000,0.935408,0.229971,1.570995,0.326643,1.356954,0.458219,1.626483,0.507434,1.881720,0.145159,2.542990
2.85768,0.160000,0.160000,0.935574,0.230235,1.571112,0.327067,1.357045,0.473018,1.619068,0.538179,1.870707,0.218182,2.553439
2.87434,0.160000,0.160000,0.935765,0.230605,1.571238,0.327693,1.357189,0.509872,1.595450,0.610424,1.835153,0.391577,2.556697
2.89101,0.160000,0.160000,0.935980,0.231211,1.571355,0.328443,1.357243,0.558988,1.549093,0.708232,1.761917,0.647894,2.513502
2.90768,0.160000,0.160000,0.936218,0.231549,1.571521,0.329144,1.357416,0.604867,1.475456,0.805784,1.640381,0.949510,2.380559
2.92434,0.160000,0.160000,0.936477,0.232184,1.571671,0.330005,1.357542,0.629405,1.375334,0.872023,1.468631,1.241431,2.125942
2.94101,0.160000,0.160000,0.936757,0.232627,1.571853,0.330878,1.357763,0.614558,1.260386,0.874487,1.262507,1.451261,1.748153
2.95768,0.160000,0.160000,0.937055,0.233290,1.572029,0.331847,1.357890,0.550000,1.152061,0.791437,1.055752,1.509010,1.287289
2.97434,0.160000,0.160000,0.937371,0.234211,1.572186,0.332801,1.357872,0.438677,1.077254,0.621934,0.892907,1.372415,0.820117
2.99101,0.160000,0.160000,0.937703,0.234798,1.572400,0.333639,1.358012,0.300439,1.059929,0.392523,0.816850,1.047982,0.444166
3.00768,0.160000,0.160000,0.938050,0.235945,1.572552,0.334831,1.357995,0.166555,1.109723,0.150144,0.850305,0.593445,0.240384
3.02434,0.160000,0.160000,0.938412,0.236751,1.572765,0.335694,1.358015,0.070360,1.218181,-0.051007,0.988318,0.103135,0.250239
3.04101,0.160000,0.160000,0.938785,0.238005,1.572932,0.336647,1.357858,0.036726,1.359613,-0.167070,1.198262,-0.323840,0.460738
3.05768,0.160000,0.160000,0.939171,0.238734,1.573175,0.337334,1.357868,0.072458,1.498569,-0.178320,1.430180,-0.612045,0.813412
3.07434,0.160000,0.160000,0.939566,0.240202,1.573349,0.338341,1.357594,0.166326,1.603291,-0.091646,1.635187,-0.726986,1.229154
3.09101,0.160000,0.160000,0.939970,0.241370,1.573569,0.338992,1.357394,0.291947,1.653609,0.063023,1.776738,-0.676218,1.628273
3.10768,0.160000,0.160000,0.940381,0.242466,1.573735,0.339940,1.357318,0.420965,1.646093,0.248391,1.840478,-0.496794,1.955456
3.12434,0.160000,0.160000,0.940799,0.243784,1.573966,0.340465,1.356985,0.528892,1.590334,0.428481,1.830094,-0.239438,2.179958
3.14101,0.160000,0.160000,0.941222,0.245281,1.574152,0.341203,1.356642,0.602185,1.504443,0.579072,1.763351,0.048416,2.299004
3.15768,0.160000,0.160000,0.941648,0.246579,1.574365,0.341709,1.356327,0.637229,1.407565,0.687436,1.662609,0.327733,2.325281
3.17434,0.160000,0.160000,0.942078,0.247992,1.574566,0.342254,1.356017,0.639404,1.315270,0.753315,1.548921,0.575511,2.281660
